Geneid	SRR9106183	SRR9106184	SRR9106185	SRR9106186	SRR9106187	SRR9106188	SRR9106189	SRR9106190	SRR9106191	SRR9106192	SRR9106193	SRR9106194	SRR9106195	SRR9106196	SRR9106197	SRR9106198	SRR9106199	SRR9106200	SRR9106201	SRR9106202	SRR9106203	SRR9106204	SRR9106205	SRR9106206	SRR9106207	SRR9106208	SRR9106209	SRR9106210	SRR9106211	SRR9106212	SRR9106213	SRR9106214	SRR9106215	SRR9106216	SRR9106217	SRR9106218	SRR9106219	SRR9106220	SRR9106221	SRR9106222	SRR9106223	SRR9106224	SRR9106225	SRR9106226	SRR9106227	SRR9106228	SRR9106229	SRR9106230	SRR9106231	SRR9106232	SRR9106233	SRR9106234	SRR9106235	SRR9106236	SRR9106237	SRR9106238	SRR9106239	SRR9106240	SRR9106241	SRR9106242	SRR9106243	SRR9106244	SRR9106245	SRR9106246	SRR9106247	SRR9106248	SRR9106249	SRR9106250	SRR9106251	SRR9106252	SRR9106253	SRR9106254	SRR9106255
TRINITY_DN442_c0_g1_i24.p1	2	3	1	1	1	5	0	0	4	0	0	0	1	1	2	3	3	0	0	0	1	1	0	0	0	0	1	2	7	3	0	1	0	0	0	7	8	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i27.p1	0	3	1	1	3	2	3	0	1	1	2	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	5	5	7	0	0	0	1	2	0	4	10	9	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i27.p7	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i27.p8	3	4	4	2	5	2	0	0	1	5	0	1	1	2	1	3	4	0	1	1	0	0	1	0	6	0	9	3	7	0	8	0	1	3	0	6	2	3	1	1	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i32.p2	6	10	6	3	6	6	7	0	2	1	3	4	0	2	7	4	8	1	5	0	2	0	1	0	0	1	14	8	11	5	0	1	4	5	0	21	17	24	3	3	6	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i32.p7	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i32.p8	3	4	3	2	5	2	0	0	1	5	0	1	1	2	1	3	4	0	1	1	0	0	0	0	5	0	8	3	7	0	8	0	1	3	0	6	2	3	1	1	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i4.p1	0	2	0	2	1	2	0	0	1	0	0	1	1	1	2	2	3	0	0	0	1	1	1	0	0	0	2	2	4	5	0	0	0	0	0	6	3	7	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g1_i40.p2	4	6	2	5	1	3	3	0	1	2	4	1	0	0	4	5	4	0	0	1	0	1	1	1	1	1	10	5	17	2	0	0	1	1	0	17	20	19	3	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i1.p2	7	3	5	8	1	8	1	0	1	1	0	0	1	7	8	8	12	1	1	0	0	0	1	0	0	0	12	6	15	6	0	0	0	0	1	11	12	28	2	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i10.p2	21	19	17	9	9	17	11	4	1	4	5	4	4	9	8	18	14	1	0	1	1	3	1	2	0	0	24	22	38	24	4	8	6	6	1	60	48	33	7	5	4	4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i13.p2	10	6	5	5	4	2	5	0	0	0	1	1	2	7	13	6	4	0	0	1	0	1	1	0	1	0	20	11	14	4	3	1	2	0	0	22	20	26	3	0	6	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TRINITY_DN442_c0_g2_i15.p1	10	8	11	16	13	15	12	1	0	1	3	5	1	13	19	18	17	3	0	1	0	1	1	1	0	2	25	33	37	14	1	4	0	3	1	75	77	74	9	0	6	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i16.p3	2	0	5	6	2	3	3	0	0	2	2	0	0	2	2	4	7	0	0	0	0	0	0	0	0	1	10	11	6	3	1	1	0	0	0	12	12	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i18.p2	3	2	4	4	2	3	2	0	0	2	1	0	1	4	2	5	2	0	0	0	0	0	0	0	0	0	5	6	7	1	0	2	0	0	0	14	19	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i2.p2	25	16	24	13	17	20	17	6	5	6	7	4	1	14	26	22	24	2	2	1	1	3	1	3	0	0	40	50	41	24	5	7	8	8	1	82	67	77	13	6	4	5	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN442_c0_g2_i22.p2	18	21	20	23	17	16	10	5	3	3	4	3	4	32	20	21	27	2	3	2	0	0	0	2	0	0	41	52	33	21	3	1	2	1	1	88	84	89	6	4	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
